time,geo,variable,value
2020-03-06,zrh_stmpf,o3_max_h,81.31
2020-03-06,zrh_stmpf,p,951.53
2020-03-06,zrh_stmpf,pm10,4.88
2020-03-06,zrh_stmpf,t,6.32
2020-03-07,zrh_heub,no2,7.92
2020-03-07,zrh_heub,o3_max_h,86.86
2020-03-07,zrh_rsgrt,kbi,1
2020-03-07,zrh_rsgrt,kbi_no2,1
2020-03-07,zrh_rsgrt,kbi_o3,1
2020-03-07,zrh_rsgrt,kbi_pm10,1
2020-03-07,zrh_rsgrt,no2,41.41
2020-03-07,zrh_rsgrt,o3_max_h,66.73
2020-03-07,zrh_rsgrt,pm10,11.69
2020-03-07,zrh_schmls,kbi,1
2020-03-07,zrh_schmls,kbi_no2,1
2020-03-07,zrh_schmls,kbi_o3,1
2020-03-07,zrh_schmls,kbi_pm10,1
2020-03-07,zrh_schmls,no2,30.54
2020-03-07,zrh_schmls,o3_max_h,77.14
2020-03-07,zrh_schmls,pm10,10.27
2020-03-07,zrh_stmpf,kbi,1
2020-03-07,zrh_stmpf,kbi_no2,1
2020-03-07,zrh_stmpf,kbi_o3,1
2020-03-07,zrh_stmpf,kbi_pm10,1
2020-03-07,zrh_stmpf,no2,19.44
2020-03-07,zrh_stmpf,o3_max_h,84.69
2020-03-07,zrh_stmpf,p,967.89
2020-03-07,zrh_stmpf,pm10,7.79
2020-03-07,zrh_stmpf,t,5.28
2020-03-08,zrh_heub,no2,8.83
2020-03-08,zrh_heub,o3_max_h,88.9
2020-03-08,zrh_rsgrt,kbi,1
2020-03-08,zrh_rsgrt,kbi_no2,1
2020-03-08,zrh_rsgrt,kbi_o3,1
2020-03-08,zrh_rsgrt,kbi_pm10,1
2020-03-08,zrh_rsgrt,no2,43.8
2020-03-08,zrh_rsgrt,o3_max_h,71.94
2020-03-08,zrh_rsgrt,pm10,13.69
2020-03-08,zrh_schmls,kbi,1
2020-03-08,zrh_schmls,kbi_no2,1
2020-03-08,zrh_schmls,kbi_o3,1
2020-03-08,zrh_schmls,kbi_pm10,1
2020-03-08,zrh_schmls,no2,34.73
2020-03-08,zrh_schmls,o3_max_h,77.92
2020-03-08,zrh_schmls,pm10,10.85
2020-03-08,zrh_stmpf,kbi,1
2020-03-08,zrh_stmpf,kbi_no2,1
2020-03-08,zrh_stmpf,kbi_o3,1
2020-03-08,zrh_stmpf,kbi_pm10,1
2020-03-08,zrh_stmpf,no2,26.91
2020-03-08,zrh_stmpf,o3_max_h,84.88
2020-03-08,zrh_stmpf,p,968.68
2020-03-08,zrh_stmpf,pm10,8.83
2020-03-08,zrh_stmpf,t,5.89
2020-03-09,zrh_heub,no2,9.06
2020-03-09,zrh_heub,o3_max_h,78.64
2020-03-09,zrh_rsgrt,kbi,1
2020-03-09,zrh_rsgrt,kbi_no2,1
2020-03-09,zrh_rsgrt,kbi_o3,1
2020-03-09,zrh_rsgrt,kbi_pm10,1
2020-03-09,zrh_rsgrt,no2,43.19
2020-03-09,zrh_rsgrt,o3_max_h,66.36
2020-03-09,zrh_rsgrt,pm10,8.57
2020-03-09,zrh_schmls,kbi,1
2020-03-09,zrh_schmls,kbi_no2,1
2020-03-09,zrh_schmls,kbi_o3,1
2020-03-09,zrh_schmls,kbi_pm10,1
2020-03-09,zrh_schmls,no2,26.31
2020-03-09,zrh_schmls,o3_max_h,75.9
2020-03-09,zrh_schmls,pm10,6.46
2020-03-09,zrh_stmpf,kbi,1
2020-03-09,zrh_stmpf,kbi_no2,1
2020-03-09,zrh_stmpf,kbi_o3,1
2020-03-09,zrh_stmpf,kbi_pm10,1
2020-03-09,zrh_stmpf,no2,17.36
2020-03-09,zrh_stmpf,o3_max_h,77.73
2020-03-09,zrh_stmpf,p,966.1
2020-03-09,zrh_stmpf,pm10,5.37
2020-03-09,zrh_stmpf,t,6.61
2020-03-10,zrh_heub,no2,9.82
2020-03-10,zrh_heub,o3_max_h,71.57
2020-03-10,zrh_rsgrt,kbi,1
2020-03-10,zrh_rsgrt,kbi_no2,1
2020-03-10,zrh_rsgrt,kbi_o3,1
2020-03-10,zrh_rsgrt,kbi_pm10,1
2020-03-10,zrh_rsgrt,no2,41.52
2020-03-10,zrh_rsgrt,o3_max_h,57.64
2020-03-10,zrh_rsgrt,pm10,8.47
2020-03-10,zrh_schmls,kbi,1
2020-03-10,zrh_schmls,kbi_no2,1
2020-03-10,zrh_schmls,kbi_o3,1
2020-03-10,zrh_schmls,kbi_pm10,1
2020-03-10,zrh_schmls,no2,27.06
2020-03-10,zrh_schmls,o3_max_h,69.91
2020-03-10,zrh_schmls,pm10,6.46
2020-03-10,zrh_stmpf,kbi,1
2020-03-10,zrh_stmpf,kbi_no2,1
2020-03-10,zrh_stmpf,kbi_o3,1
2020-03-10,zrh_stmpf,kbi_pm10,1
2020-03-10,zrh_stmpf,no2,18.14
2020-03-10,zrh_stmpf,o3_max_h,68.07
2020-03-10,zrh_stmpf,p,968.24
2020-03-10,zrh_stmpf,pm10,5.44
2020-03-10,zrh_stmpf,t,5.95
2020-03-11,zrh_heub,no2,7.04
2020-03-11,zrh_heub,o3_max_h,66.13
2020-03-11,zrh_rsgrt,kbi,1
2020-03-11,zrh_rsgrt,kbi_no2,1
2020-03-11,zrh_rsgrt,kbi_o3,1
2020-03-11,zrh_rsgrt,kbi_pm10,1
2020-03-11,zrh_rsgrt,no2,34.49
2020-03-11,zrh_rsgrt,o3_max_h,49.99
2020-03-11,zrh_rsgrt,pm10,9.26
2020-03-11,zrh_schmls,kbi,1
2020-03-11,zrh_schmls,kbi_no2,1
2020-03-11,zrh_schmls,kbi_o3,1
2020-03-11,zrh_schmls,kbi_pm10,1
2020-03-11,zrh_schmls,no2,20.41
2020-03-11,zrh_schmls,o3_max_h,60.12
2020-03-11,zrh_schmls,pm10,6.93
2020-03-11,zrh_stmpf,kbi_no2,1
2020-03-11,zrh_stmpf,kbi_pm10,1
2020-03-11,zrh_stmpf,no2,11.05
2020-03-11,zrh_stmpf,p,969.77
2020-03-11,zrh_stmpf,pm10,5.27
2020-03-11,zrh_stmpf,t,12.77
2020-03-12,zrh_heub,no2,7.46
2020-03-12,zrh_heub,o3_max_h,84.21
2020-03-12,zrh_rsgrt,kbi,1
2020-03-12,zrh_rsgrt,kbi_no2,1
2020-03-12,zrh_rsgrt,kbi_o3,1
2020-03-12,zrh_rsgrt,kbi_pm10,1
2020-03-12,zrh_rsgrt,no2,34.31
2020-03-12,zrh_rsgrt,o3_max_h,80.32
2020-03-12,zrh_rsgrt,pm10,10.9
2020-03-12,zrh_schmls,kbi,1
2020-03-12,zrh_schmls,kbi_no2,1
2020-03-12,zrh_schmls,kbi_o3,1
2020-03-12,zrh_schmls,kbi_pm10,1
2020-03-12,zrh_schmls,no2,28.37
2020-03-12,zrh_schmls,o3_max_h,80.14
2020-03-12,zrh_schmls,pm10,9.65
2020-03-13,zrh_heub,no2,8.06
2020-03-13,zrh_heub,o3_max_h,86.33
2020-03-13,zrh_rsgrt,kbi,1
2020-03-13,zrh_rsgrt,kbi_no2,1
2020-03-13,zrh_rsgrt,kbi_o3,1
2020-03-13,zrh_rsgrt,kbi_pm10,1
2020-03-13,zrh_rsgrt,no2,37.86
2020-03-13,zrh_rsgrt,o3_max_h,83.28
2020-03-13,zrh_rsgrt,pm10,11.23
2020-03-13,zrh_schmls,kbi,1
2020-03-13,zrh_schmls,kbi_no2,1
2020-03-13,zrh_schmls,kbi_o3,1
2020-03-13,zrh_schmls,kbi_pm10,1
2020-03-13,zrh_schmls,no2,28.36
2020-03-13,zrh_schmls,o3_max_h,84.61
2020-03-13,zrh_schmls,pm10,9.44
2020-03-13,zrh_stmpf,kbi,1
2020-03-13,zrh_stmpf,kbi_no2,1
2020-03-13,zrh_stmpf,kbi_o3,1
2020-03-13,zrh_stmpf,kbi_pm10,1
2020-03-13,zrh_stmpf,no2,18.68
2020-03-13,zrh_stmpf,o3_max_h,88.19
2020-03-13,zrh_stmpf,p,970
2020-03-13,zrh_stmpf,pm10,7.27
2020-03-13,zrh_stmpf,t,9.01
2020-03-14,zrh_heub,no2,11.43
2020-03-14,zrh_heub,o3_max_h,74.83
2020-03-14,zrh_rsgrt,kbi,1
2020-03-14,zrh_rsgrt,kbi_no2,1
2020-03-14,zrh_rsgrt,kbi_o3,1
2020-03-14,zrh_rsgrt,kbi_pm10,1
2020-03-14,zrh_rsgrt,no2,36.72
2020-03-14,zrh_rsgrt,o3_max_h,66.75
2020-03-14,zrh_rsgrt,pm10,13.35
2020-03-14,zrh_schmls,kbi,1
2020-03-14,zrh_schmls,kbi_no2,1
