time,group,geo,value
2020-01-05,total,urban,11.0370426947956
2020-01-05,total,zh,11.0985739159436
2020-01-05,weiblich,ch,12.2309285954581
2020-01-06,alter_1529,ch,23.2292834413055
2020-01-06,alter_3064,ch,22.3389233080947
2020-01-06,alter_6579,ch,12.3986521095681
2020-01-06,erwerbstaetig,ch,23.5060740485598
2020-01-06,in_ausbildung,ch,18.8202636933548
2020-01-06,maennlich,ch,24.7085762934716
2020-01-06,nicht_erwerbstaetig,ch,11.0803842988768
2020-01-06,tages_distanz_10-20km,ch,16.6075017020882
2020-01-06,tages_distanz_10-20km_alter_1529,ch,16.850224609031
2020-01-06,tages_distanz_10-20km_alter_3064,ch,16.1848472518219
2020-01-06,tages_distanz_10-20km_alter_6579,ch,18.1284995237847
2020-01-06,tages_distanz_100pluskm,ch,9.7456109987049
2020-01-06,tages_distanz_100pluskm_alter_1529,ch,11.4118554088299
2020-01-06,tages_distanz_100pluskm_alter_3064,ch,9.63757096537192
2020-01-06,tages_distanz_100pluskm_alter_6579,ch,7.65014114833522
2020-01-06,tages_distanz_2-10km,ch,19.3812918880361
2020-01-06,tages_distanz_2-10km_alter_1529,ch,19.5129122032354
2020-01-06,tages_distanz_2-10km_alter_3064,ch,17.8439588414514
2020-01-06,tages_distanz_2-10km_alter_6579,ch,26.0770389310938
2020-01-06,tages_distanz_20-50km,ch,25.3561723712022
2020-01-06,tages_distanz_20-50km_alter_1529,ch,25.4669266842815
2020-01-06,tages_distanz_20-50km_alter_3064,ch,26.7808186878084
2020-01-06,tages_distanz_20-50km_alter_6579,ch,18.7908224736548
2020-01-06,tages_distanz_50-100km,ch,15.7249313578595
2020-01-06,tages_distanz_50-100km_alter_1529,ch,16.2590685325669
2020-01-06,tages_distanz_50-100km_alter_3064,ch,16.5924663193143
2020-01-06,tages_distanz_50-100km_alter_6579,ch,11.0042529979758
2020-01-06,tages_distanz_weniger2km,ch,13.1844916821091
2020-01-06,tages_distanz_weniger2km_alter_1529,ch,10.4990125620552
2020-01-06,tages_distanz_weniger2km_alter_3064,ch,12.9603379342321
2020-01-06,tages_distanz_weniger2km_alter_6579,ch,18.3492449251556
2020-01-06,total,ch,20.9733427625199
2020-01-06,total,rural,28.2354216197767
2020-01-06,total,urban,16.0177530100483
2020-01-06,total,zh,18.2190996407744
2020-01-06,weiblich,ch,17.8949059497983
