time,availability,geo,value
2019-01-25,tot,ow,248
2019-01-25,tot,sg,7935
2019-01-25,tot,sh,1720
2019-01-25,tot,so,4205
2019-01-25,tot,sz,1811
2019-01-25,tot,tg,4207
2019-01-25,tot,ti,9535
2019-01-25,tot,tot,159565
2019-01-25,tot,ur,310
2019-01-25,tot,vd,22050
2019-01-25,tot,vs,9905
2019-01-25,tot,zg,2217
2019-01-25,tot,zh,27625
2019-01-26,immediate,ag,5968
2019-01-26,immediate,ai,91
2019-01-26,immediate,ar,216
2019-01-26,immediate,be,5860
2019-01-26,immediate,bl,2203
2019-01-26,immediate,bs,2480
2019-01-26,immediate,fr,3769
2019-01-26,immediate,ge,9062
2019-01-26,immediate,gl,228
2019-01-26,immediate,gr,1436
2019-01-26,immediate,ju,999
2019-01-26,immediate,lu,2222
2019-01-26,immediate,ne,3319
2019-01-26,immediate,nw,109
2019-01-26,immediate,ow,73
2019-01-26,immediate,sg,2583
2019-01-26,immediate,sh,1018
2019-01-26,immediate,so,1863
2019-01-26,immediate,sz,738
2019-01-26,immediate,tg,1494
2019-01-26,immediate,ti,5212
2019-01-26,immediate,tot,87232
2019-01-26,immediate,ur,226
2019-01-26,immediate,vd,11742
2019-01-26,immediate,vs,6935
2019-01-26,immediate,zg,659
2019-01-26,immediate,zh,16552
2019-01-26,tot,ag,11691
2019-01-26,tot,ai,124
2019-01-26,tot,ar,668
2019-01-26,tot,be,11586
2019-01-26,tot,bl,4257
2019-01-26,tot,bs,3856
2019-01-26,tot,fr,6850
2019-01-26,tot,ge,13326
2019-01-26,tot,gl,494
2019-01-26,tot,gr,2513
2019-01-26,tot,ju,1846
2019-01-26,tot,lu,5044
2019-01-26,tot,ne,4961
2019-01-26,tot,nw,374
2019-01-26,tot,ow,249
2019-01-26,tot,sg,7946
2019-01-26,tot,sh,1711
2019-01-26,tot,so,4212
2019-01-26,tot,sz,1814
2019-01-26,tot,tg,4209
2019-01-26,tot,ti,9560
2019-01-26,tot,tot,159822
2019-01-26,tot,ur,313
2019-01-26,tot,vd,22095
2019-01-26,tot,vs,9899
2019-01-26,tot,zg,2221
2019-01-26,tot,zh,27697
2019-01-28,immediate,ag,5965
2019-01-28,immediate,ai,91
2019-01-28,immediate,ar,216
2019-01-28,immediate,be,5857
2019-01-28,immediate,bl,2202
2019-01-28,immediate,bs,2479
2019-01-28,immediate,fr,3768
2019-01-28,immediate,ge,9081
2019-01-28,immediate,gl,228
2019-01-28,immediate,gr,1436
2019-01-28,immediate,ju,999
2019-01-28,immediate,lu,2222
2019-01-28,immediate,ne,3330
2019-01-28,immediate,nw,109
2019-01-28,immediate,ow,73
2019-01-28,immediate,sg,2579
2019-01-28,immediate,sh,1017
2019-01-28,immediate,so,1862
2019-01-28,immediate,sz,740
2019-01-28,immediate,tg,1489
2019-01-28,immediate,ti,5211
2019-01-28,immediate,tot,87308
2019-01-28,immediate,ur,225
2019-01-28,immediate,vd,11721
2019-01-28,immediate,vs,6959
2019-01-28,immediate,zg,661
2019-01-28,immediate,zh,16613
2019-01-28,tot,ag,11688
2019-01-28,tot,ai,124
2019-01-28,tot,ar,668
2019-01-28,tot,be,11581
2019-01-28,tot,bl,4259
2019-01-28,tot,bs,3855
2019-01-28,tot,fr,6849
2019-01-28,tot,ge,13344
2019-01-28,tot,gl,494
2019-01-28,tot,gr,2513
2019-01-28,tot,ju,1846
2019-01-28,tot,lu,5041
2019-01-28,tot,ne,4978
2019-01-28,tot,nw,374
2019-01-28,tot,ow,249
2019-01-28,tot,sg,7935
2019-01-28,tot,sh,1711
2019-01-28,tot,so,4212
2019-01-28,tot,sz,1820
2019-01-28,tot,tg,4199
2019-01-28,tot,ti,9557
2019-01-28,tot,tot,159945
2019-01-28,tot,ur,312
2019-01-28,tot,vd,22053
2019-01-28,tot,vs,9931
2019-01-28,tot,zg,2231
2019-01-28,tot,zh,27815
2019-01-29,immediate,ag,5977
2019-01-29,immediate,ai,91
2019-01-29,immediate,ar,219
2019-01-29,immediate,be,5861
2019-01-29,immediate,bl,2208
2019-01-29,immediate,bs,2485
2019-01-29,immediate,fr,3788
2019-01-29,immediate,ge,9047
2019-01-29,immediate,gl,231
2019-01-29,immediate,gr,1448
2019-01-29,immediate,ju,994
2019-01-29,immediate,lu,2240
2019-01-29,immediate,ne,3329
2019-01-29,immediate,nw,110
2019-01-29,immediate,ow,74
2019-01-29,immediate,sg,2586
2019-01-29,immediate,sh,1013
2019-01-29,immediate,so,1860
2019-01-29,immediate,sz,735
2019-01-29,immediate,tg,1496
2019-01-29,immediate,ti,5220
2019-01-29,immediate,tot,87304
2019-01-29,immediate,ur,223
2019-01-29,immediate,vd,11744
2019-01-29,immediate,vs,6933
2019-01-29,immediate,zg,651
2019-01-29,immediate,zh,16567
2019-01-29,tot,ag,11719
2019-01-29,tot,ai,124
2019-01-29,tot,ar,674
2019-01-29,tot,be,11588
2019-01-29,tot,bl,4273
2019-01-29,tot,bs,3859
2019-01-29,tot,fr,6871
2019-01-29,tot,ge,13316
2019-01-29,tot,gl,500
2019-01-29,tot,gr,2530
2019-01-29,tot,ju,1843
2019-01-29,tot,lu,5069
2019-01-29,tot,ne,4976
2019-01-29,tot,nw,375
2019-01-29,tot,ow,253
2019-01-29,tot,sg,7973
2019-01-29,tot,sh,1709
2019-01-29,tot,so,4206
2019-01-29,tot,sz,1811
2019-01-29,tot,tg,4212
2019-01-29,tot,ti,9577
2019-01-29,tot,tot,160005
2019-01-29,tot,ur,309
2019-01-29,tot,vd,22060
2019-01-29,tot,vs,9898
2019-01-29,tot,zg,2217
2019-01-29,tot,zh,27757
2019-01-30,immediate,ag,6027
2019-01-30,immediate,ai,92
2019-01-30,immediate,ar,222
2019-01-30,immediate,be,5882
2019-01-30,immediate,bl,2226
