time,sa,value
2008-07-14,nsa,122.6
2008-07-14,sa,95.8
2008-07-15,nsa,133.8
2008-07-15,sa,95.7
2008-07-16,nsa,135.7
2008-07-16,sa,95.8
2008-07-17,nsa,133.4
2008-07-17,sa,96.4
2008-07-18,nsa,113.5
2008-07-18,sa,96.4
2008-07-19,nsa,32.6
2008-07-19,sa,95
2008-07-20,nsa,14.4
2008-07-20,sa,95.6
2008-07-21,nsa,118.7
2008-07-21,sa,95.4
2008-07-22,nsa,131.3
2008-07-22,sa,95.8
2008-07-23,nsa,133.4
2008-07-23,sa,96.3
2008-07-24,nsa,129.4
2008-07-24,sa,95.6
2008-07-25,nsa,109.9
2008-07-25,sa,95.5
2008-07-26,nsa,31.6
2008-07-26,sa,95
2008-07-27,nsa,13.9
2008-07-27,sa,95.2
2008-07-28,nsa,115.4
2008-07-28,sa,94.9
2008-07-29,nsa,127.9
2008-07-29,sa,95
2008-07-30,nsa,128.9
2008-07-30,sa,94.8
2008-07-31,nsa,125.4
2008-07-31,sa,94.8
2008-08-01,nsa,106.4
2008-08-01,sa,95
2008-08-02,nsa,30.5
2008-08-02,sa,96.1
2008-08-03,nsa,13.8
2008-08-03,sa,96.5
2008-08-04,nsa,112.5
2008-08-04,sa,94.8
2008-08-05,nsa,125.8
2008-08-05,sa,95.1
2008-08-06,nsa,126.5
2008-08-06,sa,95.1
2008-08-07,nsa,123.4
2008-08-07,sa,94.7
2008-08-08,nsa,104.8
2008-08-08,sa,95
2008-08-09,nsa,30.4
2008-08-09,sa,95.8
2008-08-10,nsa,13.6
2008-08-10,sa,96.4
2008-08-11,nsa,112.6
2008-08-11,sa,95.7
2008-08-12,nsa,126.2
2008-08-12,sa,96.3
2008-08-13,nsa,126.9
2008-08-13,sa,95.9
2008-08-14,nsa,119.9
2008-08-14,sa,93.3
2008-08-15,nsa,90.2
2008-08-15,sa,91.7
2008-08-16,nsa,24.7
2008-08-16,sa,94.3
2008-08-17,nsa,12.8
2008-08-17,sa,97.8
2008-08-18,nsa,112.5
2008-08-18,sa,95.1
2008-08-19,nsa,127.9
2008-08-19,sa,96
