time,geo,value
2020-04-16,ar,158
2020-04-16,be,3504
2020-04-16,bl,305
2020-04-16,bs,1024
2020-04-16,fr,441
2020-04-16,ge,782
2020-04-16,gl,117
2020-04-16,gr,830
2020-04-16,ju,128
2020-04-16,lu,1671
2020-04-16,ne,434
2020-04-16,nw,39
2020-04-16,ow,64
2020-04-16,sg,2397
2020-04-16,sh,350
2020-04-16,so,826
2020-04-16,sz,349
2020-04-16,tg,918
2020-04-16,ti,80
2020-04-16,tot,28044
2020-04-16,ur,54
2020-04-16,vd,1014
2020-04-16,vs,549
2020-04-16,zg,923
2020-04-16,zh,5409
2020-04-17,ag,2377
2020-04-17,ai,61
2020-04-17,ar,153
2020-04-17,be,3510
2020-04-17,bl,314
2020-04-17,bs,1026
2020-04-17,fr,452
2020-04-17,ge,761
2020-04-17,gl,115
2020-04-17,gr,761
2020-04-17,ju,130
2020-04-17,lu,1715
2020-04-17,ne,427
2020-04-17,nw,42
2020-04-17,ow,68
2020-04-17,sg,2416
2020-04-17,sh,348
2020-04-17,so,839
2020-04-17,sz,346
2020-04-17,tg,914
2020-04-17,ti,79
2020-04-17,tot,28137
2020-04-17,ur,53
2020-04-17,vd,1015
2020-04-17,vs,594
2020-04-17,zg,830
2020-04-17,zh,5350
2020-04-18,ag,2306
2020-04-18,ai,58
2020-04-18,ar,148
2020-04-18,be,3356
2020-04-18,bl,302
2020-04-18,bs,997
2020-04-18,fr,416
2020-04-18,ge,730
2020-04-18,gl,110
2020-04-18,gr,735
2020-04-18,ju,122
2020-04-18,lu,1660
2020-04-18,ne,416
2020-04-18,nw,39
2020-04-18,ow,66
2020-04-18,sg,2352
2020-04-18,sh,345
2020-04-18,so,787
2020-04-18,sz,339
2020-04-18,tg,892
2020-04-18,ti,74
2020-04-18,tot,27114
2020-04-18,ur,52
2020-04-18,vd,977
2020-04-18,vs,568
2020-04-18,zg,788
2020-04-18,zh,5185
2020-04-19,ag,2245
2020-04-19,ai,58
2020-04-19,ar,145
2020-04-19,be,3257
2020-04-19,bl,296
2020-04-19,bs,967
2020-04-19,fr,403
2020-04-19,ge,716
2020-04-19,gl,107
2020-04-19,gr,718
2020-04-19,ju,119
2020-04-19,lu,1624
2020-04-19,ne,408
2020-04-19,nw,39
2020-04-19,ow,65
2020-04-19,sg,2300
2020-04-19,sh,343
2020-04-19,so,768
2020-04-19,sz,335
2020-04-19,tg,866
2020-04-19,ti,71
2020-04-19,tot,26432
2020-04-19,ur,52
2020-04-19,vd,952
2020-04-19,vs,565
2020-04-19,zg,763
2020-04-19,zh,5015
2020-04-20,ag,2290
2020-04-20,ai,58
2020-04-20,ar,143
2020-04-20,be,3245
2020-04-20,bl,304
2020-04-20,bs,949
2020-04-20,fr,387
2020-04-20,ge,704
2020-04-20,gl,106
2020-04-20,gr,691
2020-04-20,ju,114
2020-04-20,lu,1660
2020-04-20,ne,404
2020-04-20,nw,40
2020-04-20,ow,67
2020-04-20,sg,2290
2020-04-20,sh,339
2020-04-20,so,772
2020-04-20,sz,340
2020-04-20,tg,868
2020-04-20,ti,74
2020-04-20,tot,26270
2020-04-20,ur,47
2020-04-20,vd,915
2020-04-20,vs,609
2020-04-20,zg,760
2020-04-20,zh,4935
2020-04-21,ag,2314
2020-04-21,ai,58
2020-04-21,ar,142
2020-04-21,be,3245
2020-04-21,bl,306
2020-04-21,bs,951
2020-04-21,fr,389
2020-04-21,ge,696
2020-04-21,gl,106
2020-04-21,gr,696
2020-04-21,ju,117
2020-04-21,lu,1660
2020-04-21,ne,404
2020-04-21,nw,40
2020-04-21,ow,67
2020-04-21,sg,2313
2020-04-21,sh,343
2020-04-21,so,774
2020-04-21,sz,344
2020-04-21,tg,887
2020-04-21,ti,80
2020-04-21,tot,26303
2020-04-21,ur,47
2020-04-21,vd,917
2020-04-21,vs,607
2020-04-21,zg,756
2020-04-21,zh,4907
2020-04-22,ag,2625
2020-04-22,ai,68
2020-04-22,ar,173
2020-04-22,be,4035
2020-04-22,bl,354
2020-04-22,bs,1129
2020-04-22,fr,492
2020-04-22,ge,886
2020-04-22,gl,123
