time,direction,rnwy,time_frame,value
2020-03-07,arrival,28,2200,7
2020-03-07,arrival,34,0006,0
2020-03-07,arrival,34,0622,43
2020-03-07,arrival,34,2200,0
2020-03-07,arrival,all,total,276
2020-03-08,arrival,14,0006,0
2020-03-08,arrival,14,0622,221
2020-03-08,arrival,14,2200,0
2020-03-08,arrival,16,0006,0
2020-03-08,arrival,16,0622,0
2020-03-08,arrival,16,2200,0
2020-03-08,arrival,28,0006,0
2020-03-08,arrival,28,0622,45
2020-03-08,arrival,28,2200,16
2020-03-08,arrival,34,0006,0
2020-03-08,arrival,34,0622,33
2020-03-08,arrival,34,2200,0
2020-03-08,arrival,all,total,315
2020-03-09,arrival,14,0006,0
2020-03-09,arrival,14,0622,185
2020-03-09,arrival,14,2200,0
2020-03-09,arrival,16,0006,0
2020-03-09,arrival,16,0622,0
2020-03-09,arrival,16,2200,0
2020-03-09,arrival,28,0006,0
2020-03-09,arrival,28,0622,94
2020-03-09,arrival,28,2200,9
2020-03-09,arrival,34,0006,0
2020-03-09,arrival,34,0622,1
2020-03-09,arrival,34,2200,0
2020-03-09,arrival,all,total,289
2020-03-10,arrival,14,0006,1
2020-03-10,arrival,14,0622,202
2020-03-10,arrival,14,2200,0
2020-03-10,arrival,16,0006,0
2020-03-10,arrival,16,0622,0
2020-03-10,arrival,16,2200,0
2020-03-10,arrival,28,0006,0
2020-03-10,arrival,28,0622,13
2020-03-10,arrival,28,2200,3
2020-03-10,arrival,34,0006,0
2020-03-10,arrival,34,0622,17
2020-03-10,arrival,34,2200,0
2020-03-10,arrival,all,total,236
2020-03-11,arrival,14,0006,0
2020-03-11,arrival,14,0622,159
2020-03-11,arrival,14,2200,0
2020-03-11,arrival,16,0006,0
2020-03-11,arrival,16,0622,0
2020-03-11,arrival,16,2200,0
2020-03-11,arrival,28,0006,1
2020-03-11,arrival,28,0622,45
2020-03-11,arrival,28,2200,7
2020-03-11,arrival,34,0006,0
2020-03-11,arrival,34,0622,11
2020-03-11,arrival,34,2200,0
2020-03-11,arrival,all,total,223
2020-03-12,arrival,14,0006,0
2020-03-12,arrival,14,0622,65
2020-03-12,arrival,14,2200,0
2020-03-12,arrival,16,0006,0
2020-03-12,arrival,16,0622,0
2020-03-12,arrival,16,2200,0
2020-03-12,arrival,28,0006,0
2020-03-12,arrival,28,0622,166
2020-03-12,arrival,28,2200,9
2020-03-12,arrival,34,0006,0
2020-03-12,arrival,34,0622,13
2020-03-12,arrival,34,2200,0
2020-03-12,arrival,all,total,253
2020-03-13,arrival,14,0006,0
2020-03-13,arrival,14,0622,0
2020-03-13,arrival,14,2200,0
2020-03-13,arrival,16,0006,0
2020-03-13,arrival,16,0622,0
2020-03-13,arrival,16,2200,0
2020-03-13,arrival,28,0006,1
2020-03-13,arrival,28,0622,267
2020-03-13,arrival,28,2200,12
2020-03-13,arrival,34,0006,0
2020-03-13,arrival,34,0622,0
2020-03-13,arrival,34,2200,0
2020-03-13,arrival,all,total,280
2020-03-14,arrival,14,0006,0
2020-03-14,arrival,14,0622,131
2020-03-14,arrival,14,2200,0
2020-03-14,arrival,16,0006,0
2020-03-14,arrival,16,0622,0
2020-03-14,arrival,16,2200,0
2020-03-14,arrival,28,0006,1
2020-03-14,arrival,28,0622,50
2020-03-14,arrival,28,2200,7
2020-03-14,arrival,34,0006,0
2020-03-14,arrival,34,0622,33
2020-03-14,arrival,34,2200,0
2020-03-14,arrival,all,total,222
2020-03-15,arrival,14,0006,0
2020-03-15,arrival,14,0622,170
2020-03-15,arrival,14,2200,0
2020-03-15,arrival,16,0006,0
2020-03-15,arrival,16,0622,0
2020-03-15,arrival,16,2200,0
2020-03-15,arrival,28,0006,0
2020-03-15,arrival,28,0622,34
2020-03-15,arrival,28,2200,9
2020-03-15,arrival,34,0006,0
2020-03-15,arrival,34,0622,24
2020-03-15,arrival,34,2200,0
2020-03-15,arrival,all,total,237
2020-03-16,arrival,14,0006,0
2020-03-16,arrival,14,0622,148
2020-03-16,arrival,14,2200,0
2020-03-16,arrival,16,0006,0
