time,lot,variable,value
2019-01-27,centereleven,daily_mean,298.295138888889
2019-01-27,cityparking,daily_mean,507.40625
2019-01-27,cityport,daily_mean,124.600694444444
2019-01-27,crowneplaza,daily_mean,82.5868055555556
2019-01-27,dorflinde,daily_mean,43.6215277777778
2019-01-27,eisfeld,daily_mean,120.097222222222
2019-01-27,feldegg,daily_mean,134.440972222222
2019-01-27,globus,daily_mean,115.614583333333
2019-01-27,hardauii,daily_mean,99.8680555555556
2019-01-27,hauptbahnhof,daily_mean,96.4479166666667
2019-01-27,hohepromenade,daily_mean,406.104166666667
2019-01-27,horn,daily_mean,51.4965277777778
2019-01-27,jelmoli,daily_mean,160.329861111111
2019-01-27,jungholz,daily_mean,122.354166666667
2019-01-27,maxbillplatz,daily_mean,87.5729166666667
2019-01-27,messeag,daily_mean,988.291666666667
2019-01-27,nordhaus,daily_mean,124.6875
2019-01-27,octavo,daily_mean,112.868055555556
2019-01-27,opera,daily_mean,162.027777777778
2019-01-27,parkhyatt,daily_mean,200.767361111111
2019-01-27,parkside,daily_mean,32.8090277777778
2019-01-27,pfingstweid,daily_mean,229.496527777778
2019-01-27,pwest,daily_mean,343.305555555556
2019-01-27,stampfenbach,daily_mean,171.239583333333
2019-01-27,talgarten,daily_mean,83.7326388888889
2019-01-27,theater11,daily_mean,109.715277777778
2019-01-27,total,daily_mean,6849.53472222222
2019-01-27,total,utilization,0.55247094065351
2019-01-27,uniirchel,daily_mean,727.302083333333
2019-01-27,urania,daily_mean,374.236111111111
2019-01-27,usznord,daily_mean,106.489583333333
2019-01-27,uszsued,daily_mean,59.1736111111111
2019-01-27,utoquai,daily_mean,135.822916666667
2019-01-27,zueri11shopping,daily_mean,44.8368055555556
2019-01-28,accu,daily_mean,145.576388888889
2019-01-28,albisriederplatz,daily_mean,60.2013888888889
2019-01-28,amcentral,daily_mean,17.0625
2019-01-28,bleicherweg,daily_mean,98.5763888888889
2019-01-28,centereleven,daily_mean,206.534722222222
2019-01-28,cityparking,daily_mean,430.010416666667
2019-01-28,cityport,daily_mean,70.25
2019-01-28,crowneplaza,daily_mean,160.326388888889
2019-01-28,dorflinde,daily_mean,41.2083333333333
2019-01-28,eisfeld,daily_mean,67.0555555555556
2019-01-28,feldegg,daily_mean,110.506944444444
2019-01-28,globus,daily_mean,82.8333333333333
2019-01-28,hardauii,daily_mean,105.666666666667
2019-01-28,hauptbahnhof,daily_mean,98.4826388888889
2019-01-28,hohepromenade,daily_mean,382.732638888889
2019-01-28,horn,daily_mean,44.96875
2019-01-28,jelmoli,daily_mean,123.114583333333
2019-01-28,jungholz,daily_mean,103.541666666667
2019-01-28,maxbillplatz,daily_mean,72.8298611111111
2019-01-28,messeag,daily_mean,822.09375
2019-01-28,nordhaus,daily_mean,97.7465277777778
2019-01-28,octavo,daily_mean,68.2152777777778
2019-01-28,opera,daily_mean,179.40625
2019-01-28,parkhyatt,daily_mean,135.524305555556
2019-01-28,parkside,daily_mean,13.0416666666667
2019-01-28,pfingstweid,daily_mean,187.805555555556
2019-01-28,pwest,daily_mean,312.857638888889
2019-01-28,stampfenbach,daily_mean,145.045138888889
2019-01-28,talgarten,daily_mean,55.2361111111111
2019-01-28,theater11,daily_mean,131.680555555556
2019-01-28,total,daily_mean,5684.47569444445
2019-01-28,total,utilization,0.458499410747253
2019-01-28,uniirchel,daily_mean,579.010416666667
2019-01-28,urania,daily_mean,300.472222222222
2019-01-28,usznord,daily_mean,79.2534722222222
2019-01-28,uszsued,daily_mean,43.5034722222222
2019-01-28,utoquai,daily_mean,82.4930555555556
2019-01-28,zueri11shopping,daily_mean,29.6111111111111
2019-01-29,accu,daily_mean,143.732638888889
2019-01-29,albisriederplatz,daily_mean,56.2743055555556
2019-01-29,amcentral,daily_mean,16.8854166666667
2019-01-29,bleicherweg,daily_mean,90.2013888888889
2019-01-29,centereleven,daily_mean,222.572916666667
2019-01-29,cityparking,daily_mean,417.715277777778
2019-01-29,cityport,daily_mean,73.0277777777778
2019-01-29,crowneplaza,daily_mean,188.618055555556
2019-01-29,dorflinde,daily_mean,34.8055555555556
2019-01-29,eisfeld,daily_mean,51.1041666666667
2019-01-29,feldegg,daily_mean,97.0833333333333
2019-01-29,globus,daily_mean,80.1423611111111
2019-01-29,hardauii,daily_mean,97.9097222222222
2019-01-29,hauptbahnhof,daily_mean,92.9930555555556
2019-01-29,hohepromenade,daily_mean,372.777777777778
2019-01-29,horn,daily_mean,51.25
2019-01-29,jelmoli,daily_mean,116.451388888889
2019-01-29,jungholz,daily_mean,114.881944444444
2019-01-29,maxbillplatz,daily_mean,69.4583333333333
2019-01-29,messeag,daily_mean,804.75
2019-01-29,nordhaus,daily_mean,76.2256944444444
2019-01-29,octavo,daily_mean,65.59375
2019-01-29,opera,daily_mean,156.659722222222
2019-01-29,parkhyatt,daily_mean,131.534722222222
2019-01-29,parkside,daily_mean,17.0104166666667
2019-01-29,pfingstweid,daily_mean,202.90625
2019-01-29,pwest,daily_mean,304.715277777778
2019-01-29,stampfenbach,daily_mean,141.822916666667
2019-01-29,talgarten,daily_mean,40.6076388888889
2019-01-29,theater11,daily_mean,130.795138888889
2019-01-29,total,daily_mean,5539.30902777778
2019-01-29,total,utilization,0.446790532971268
2019-01-29,uniirchel,daily_mean,567.145833333333
2019-01-29,urania,daily_mean,286.329861111111
2019-01-29,usznord,daily_mean,77.7777777777778
2019-01-29,uszsued,daily_mean,40.2013888888889
2019-01-29,utoquai,daily_mean,81.21875
2019-01-29,zueri11shopping,daily_mean,26.1284722222222
2019-01-30,accu,daily_mean,144.065972222222
2019-01-30,albisriederplatz,daily_mean,57.7118055555556
2019-01-30,amcentral,daily_mean,13.8958333333333
2019-01-30,bleicherweg,daily_mean,78.6944444444444
2019-01-30,centereleven,daily_mean,205.40625
2019-01-30,cityparking,daily_mean,411.277777777778
2019-01-30,cityport,daily_mean,65.5104166666667
2019-01-30,crowneplaza,daily_mean,153.041666666667
2019-01-30,dorflinde,daily_mean,41.3993055555556
2019-01-30,eisfeld,daily_mean,80.7743055555556
2019-01-30,feldegg,daily_mean,88.8402777777778
2019-01-30,globus,daily_mean,76.6388888888889
2019-01-30,hardauii,daily_mean,95.3645833333333
2019-01-30,hauptbahnhof,daily_mean,94.5902777777778
2019-01-30,hohepromenade,daily_mean,373.503472222222
2019-01-30,horn,daily_mean,53.3784722222222
2019-01-30,jelmoli,daily_mean,115.989583333333
2019-01-30,jungholz,daily_mean,119.638888888889
2019-01-30,maxbillplatz,daily_mean,69.5868055555556
2019-01-30,messeag,daily_mean,811.6875
2019-01-30,nordhaus,daily_mean,95.7395833333333
2019-01-30,octavo,daily_mean,63.5694444444444
2019-01-30,opera,daily_mean,148.277777777778
2019-01-30,parkhyatt,daily_mean,152.3125
2019-01-30,parkside,daily_mean,17.59375
2019-01-30,pfingstweid,daily_mean,178.159722222222
2019-01-30,pwest,daily_mean,306.902777777778
2019-01-30,stampfenbach,daily_mean,137.5625
2019-01-30,talgarten,daily_mean,45.0625
2019-01-30,theater11,daily_mean,145.413194444444
2019-01-30,total,daily_mean,5512.40625
2019-01-30,total,utilization,0.444620604129698
2019-01-30,uniirchel,daily_mean,581.996527777778
2019-01-30,urania,daily_mean,269.465277777778
2019-01-30,usznord,daily_mean,76.6145833333333
2019-01-30,uszsued,daily_mean,42.7152777777778
2019-01-30,utoquai,daily_mean,74.4965277777778
2019-01-30,zueri11shopping,daily_mean,25.5277777777778
2019-01-31,accu,daily_mean,139.642361111111
2019-01-31,albisriederplatz,daily_mean,57.7916666666667
2019-01-31,amcentral,daily_mean,12.6458333333333
2019-01-31,bleicherweg,daily_mean,80.1111111111111
2019-01-31,centereleven,daily_mean,138.704861111111
2019-01-31,cityparking,daily_mean,380.135416666667
2019-01-31,cityport,daily_mean,46.4861111111111
2019-01-31,crowneplaza,daily_mean,129.21875
2019-01-31,dorflinde,daily_mean,35.5
2019-01-31,eisfeld,daily_mean,79.5555555555556
2019-01-31,feldegg,daily_mean,83.1041666666667
2019-01-31,globus,daily_mean,76.5486111111111
2019-01-31,hardauii,daily_mean,89
2019-01-31,hauptbahnhof,daily_mean,90.9340277777778
2019-01-31,hohepromenade,daily_mean,366.645833333333
2019-01-31,horn,daily_mean,48.0034722222222
2019-01-31,jelmoli,daily_mean,113.541666666667
2019-01-31,jungholz,daily_mean,106.309027777778
2019-01-31,maxbillplatz,daily_mean,75.2395833333333
2019-01-31,messeag,daily_mean,799.857638888889
2019-01-31,nordhaus,daily_mean,85.90625
2019-01-31,octavo,daily_mean,66.5972222222222
2019-01-31,opera,daily_mean,151.159722222222
2019-01-31,parkhyatt,daily_mean,158.336805555556
2019-01-31,parkside,daily_mean,11.8819444444444
2019-01-31,pfingstweid,daily_mean,162.753472222222
2019-01-31,pwest,daily_mean,298.131944444444
2019-01-31,stampfenbach,daily_mean,136.8125
2019-01-31,talgarten,daily_mean,39.2743055555556
2019-01-31,theater11,daily_mean,120.09375
2019-01-31,total,daily_mean,4902.81944444445
2019-01-31,total,utilization,0.395452447527379
2019-01-31,uniirchel,daily_mean,234.892361111111
2019-01-31,urania,daily_mean,262.559027777778
2019-01-31,usznord,daily_mean,77.0625
2019-01-31,uszsued,daily_mean,46.5104166666667
2019-01-31,utoquai,daily_mean,76.6423611111111
2019-01-31,zueri11shopping,daily_mean,25.2291666666667
2019-02-01,accu,daily_mean,132.222996515679
2019-02-01,albisriederplatz,daily_mean,59.1463414634146
2019-02-01,amcentral,daily_mean,14.2508710801394
2019-02-01,bleicherweg,daily_mean,91.0627177700348
2019-02-01,centereleven,daily_mean,148.442508710801
2019-02-01,cityparking,daily_mean,367.794425087108
2019-02-01,cityport,daily_mean,47.787456445993
2019-02-01,crowneplaza,daily_mean,289.024390243902
2019-02-01,dorflinde,daily_mean,33.7177700348432
2019-02-01,eisfeld,daily_mean,73.212543554007
2019-02-01,feldegg,daily_mean,78.4250871080139
2019-02-01,globus,daily_mean,70.6689895470383
2019-02-01,hardauii,daily_mean,84.5644599303136
2019-02-01,hauptbahnhof,daily_mean,94.5749128919861
2019-02-01,hohepromenade,daily_mean,345.310104529617
2019-02-01,horn,daily_mean,45.4355400696864
2019-02-01,jelmoli,daily_mean,95.3797909407666
2019-02-01,jungholz,daily_mean,104.386759581882
2019-02-01,maxbillplatz,daily_mean,77.0836236933798
2019-02-01,messeag,daily_mean,791.97212543554
2019-02-01,nordhaus,daily_mean,100.142857142857
2019-02-01,octavo,daily_mean,68.0836236933798
2019-02-01,opera,daily_mean,138.655052264808
2019-02-01,parkhyatt,daily_mean,172.836236933798
2019-02-01,parkside,daily_mean,11.8362369337979
2019-02-01,pfingstweid,daily_mean,154.742160278746
2019-02-01,pwest,daily_mean,307.770034843206
2019-02-01,stampfenbach,daily_mean,145.756097560976
2019-02-01,talgarten,daily_mean,38.5400696864112
2019-02-01,theater11,daily_mean,119.08362369338
2019-02-01,total,daily_mean,4787.43554006969
2019-02-01,total,utilization,0.386145792875439
2019-02-01,uniirchel,daily_mean,0
2019-02-01,urania,daily_mean,260.470383275261
2019-02-01,usznord,daily_mean,78.0766550522648
2019-02-01,uszsued,daily_mean,41.1463414634146
2019-02-01,utoquai,daily_mean,81.2334494773519
2019-02-01,zueri11shopping,daily_mean,24.5993031358885
2019-02-02,accu,daily_mean,133.746527777778
2019-02-02,albisriederplatz,daily_mean,60.4027777777778
2019-02-02,amcentral,daily_mean,14.6215277777778
2019-02-02,bleicherweg,daily_mean,152.0625
2019-02-02,centereleven,daily_mean,172.09375
2019-02-02,cityparking,daily_mean,334.361111111111
2019-02-02,cityport,daily_mean,82.4965277777778
2019-02-02,crowneplaza,daily_mean,541.25
2019-02-02,dorflinde,daily_mean,35.4861111111111
2019-02-02,eisfeld,daily_mean,81.0694444444444
2019-02-02,feldegg,daily_mean,85.40625
2019-02-02,globus,daily_mean,63.5902777777778
2019-02-02,hardauii,daily_mean,74.8194444444444
2019-02-02,hauptbahnhof,daily_mean,94.8472222222222
2019-02-02,hohepromenade,daily_mean,351.732638888889
2019-02-02,horn,daily_mean,45.0763888888889
2019-02-02,jelmoli,daily_mean,77.5555555555556
2019-02-02,jungholz,daily_mean,105.690972222222
2019-02-02,maxbillplatz,daily_mean,81.5520833333333
2019-02-02,messeag,daily_mean,960.65625
2019-02-02,nordhaus,daily_mean,129.673611111111
2019-02-02,octavo,daily_mean,110.010416666667
2019-02-02,opera,daily_mean,138.225694444444
2019-02-02,parkhyatt,daily_mean,194.604166666667
2019-02-02,parkside,daily_mean,26.7361111111111
2019-02-02,pfingstweid,daily_mean,201.5625
2019-02-02,pwest,daily_mean,342.46875
2019-02-02,stampfenbach,daily_mean,167.638888888889
2019-02-02,talgarten,daily_mean,29.2291666666667
2019-02-02,theater11,daily_mean,90.8715277777778
2019-02-02,total,daily_mean,5507.78125
2019-02-02,total,utilization,0.444247560090337
2019-02-02,uniirchel,daily_mean,0
2019-02-02,urania,daily_mean,225.475694444444
2019-02-02,usznord,daily_mean,105.388888888889
2019-02-02,uszsued,daily_mean,57.6180555555556
2019-02-02,utoquai,daily_mean,114.916666666667
2019-02-02,zueri11shopping,daily_mean,24.84375
2019-02-03,accu,daily_mean,134.590277777778
2019-02-03,albisriederplatz,daily_mean,61.9166666666667
2019-02-03,amcentral,daily_mean,0
2019-02-03,bleicherweg,daily_mean,208.642361111111
2019-02-03,centereleven,daily_mean,137.354166666667
2019-02-03,cityparking,daily_mean,513.722222222222
2019-02-03,cityport,daily_mean,71.0520833333333
2019-02-03,crowneplaza,daily_mean,498.517361111111
2019-02-03,dorflinde,daily_mean,40.5208333333333
2019-02-03,eisfeld,daily_mean,103.111111111111
2019-02-03,feldegg,daily_mean,136.430555555556
2019-02-03,globus,daily_mean,112.319444444444
2019-02-03,hardauii,daily_mean,89.2986111111111
2019-02-03,hauptbahnhof,daily_mean,106.243055555556
2019-02-03,hohepromenade,daily_mean,424.180555555556
2019-02-03,horn,daily_mean,58.4305555555556
2019-02-03,jelmoli,daily_mean,156.666666666667
2019-02-03,jungholz,daily_mean,107.09375
2019-02-03,maxbillplatz,daily_mean,89.1006944444444
2019-02-03,messeag,daily_mean,970.763888888889
2019-02-03,nordhaus,daily_mean,138.381944444444
2019-02-03,octavo,daily_mean,112.913194444444
2019-02-03,opera,daily_mean,197.638888888889
2019-02-03,parkhyatt,daily_mean,206.774305555556
2019-02-03,parkside,daily_mean,27.1458333333333
2019-02-03,pfingstweid,daily_mean,222.222222222222
2019-02-03,pwest,daily_mean,344.868055555556
2019-02-03,stampfenbach,daily_mean,176.447916666667
2019-02-03,talgarten,daily_mean,75.8194444444445
2019-02-03,theater11,daily_mean,112.288194444444
2019-02-03,total,daily_mean,6370.77777777778
2019-02-03,total,utilization,0.513855281317775
2019-02-03,uniirchel,daily_mean,0
2019-02-03,urania,daily_mean,390.076388888889
2019-02-03,usznord,daily_mean,112.246527777778
2019-02-03,uszsued,daily_mean,61.2708333333333
2019-02-03,utoquai,daily_mean,131.4375
2019-02-03,zueri11shopping,daily_mean,41.2916666666667
2019-02-04,accu,daily_mean,134.982638888889
2019-02-04,albisriederplatz,daily_mean,58.5798611111111
2019-02-04,amcentral,daily_mean,16.8194444444444
2019-02-04,bleicherweg,daily_mean,122.513888888889
2019-02-04,centereleven,daily_mean,176.805555555556
2019-02-04,cityparking,daily_mean,444.354166666667
2019-02-04,cityport,daily_mean,68.5069444444445
2019-02-04,crowneplaza,daily_mean,532.892361111111
2019-02-04,dorflinde,daily_mean,37.8263888888889
2019-02-04,eisfeld,daily_mean,65.4166666666667
2019-02-04,feldegg,daily_mean,101.996527777778
2019-02-04,globus,daily_mean,85.2604166666667
2019-02-04,hardauii,daily_mean,104.954861111111
2019-02-04,hauptbahnhof,daily_mean,103.583333333333
2019-02-04,hohepromenade,daily_mean,394.111111111111
2019-02-04,horn,daily_mean,54.9965277777778
2019-02-04,jelmoli,daily_mean,124.802083333333
2019-02-04,jungholz,daily_mean,117.704861111111
2019-02-04,maxbillplatz,daily_mean,76.53125
2019-02-04,messeag,daily_mean,853.3125
2019-02-04,nordhaus,daily_mean,104.770833333333
2019-02-04,octavo,daily_mean,70.6979166666667
2019-02-04,opera,daily_mean,191.600694444444
2019-02-04,parkhyatt,daily_mean,162.364583333333
2019-02-04,parkside,daily_mean,19.2916666666667
2019-02-04,pfingstweid,daily_mean,181.670138888889
2019-02-04,pwest,daily_mean,315.340277777778
2019-02-04,stampfenbach,daily_mean,149.090277777778
2019-02-04,talgarten,daily_mean,56.6319444444445
2019-02-04,theater11,daily_mean,158.572916666667
2019-02-04,total,daily_mean,5639.61805555556
2019-02-04,total,utilization,0.454881275653779
2019-02-04,uniirchel,daily_mean,0
2019-02-04,urania,daily_mean,313.423611111111
2019-02-04,usznord,daily_mean,79.6388888888889
2019-02-04,uszsued,daily_mean,45.2569444444444
2019-02-04,utoquai,daily_mean,87.2951388888889
2019-02-04,zueri11shopping,daily_mean,28.0208333333333
2019-02-05,accu,daily_mean,131.215277777778
2019-02-05,albisriederplatz,daily_mean,59.9652777777778
2019-02-05,amcentral,daily_mean,16.3298611111111
2019-02-05,bleicherweg,daily_mean,99.0763888888889
2019-02-05,centereleven,daily_mean,241.909722222222
2019-02-05,cityparking,daily_mean,422.708333333333
2019-02-05,cityport,daily_mean,74.2395833333333
2019-02-05,crowneplaza,daily_mean,519.020833333333
2019-02-05,dorflinde,daily_mean,38
2019-02-05,eisfeld,daily_mean,68.5555555555556
2019-02-05,feldegg,daily_mean,94.3506944444444
2019-02-05,globus,daily_mean,78.5763888888889
2019-02-05,hardauii,daily_mean,101.732638888889
2019-02-05,hauptbahnhof,daily_mean,105.826388888889
2019-02-05,hohepromenade,daily_mean,379.034722222222
2019-02-05,horn,daily_mean,51.8958333333333
2019-02-05,jelmoli,daily_mean,115.628472222222
2019-02-05,jungholz,daily_mean,119.402777777778
2019-02-05,maxbillplatz,daily_mean,78.2326388888889
2019-02-05,messeag,daily_mean,815.15625
2019-02-05,nordhaus,daily_mean,103.729166666667
