time,direction,geo,value
2009-03-08,out_incl_losses,ch,167572395.266
2009-03-09,in,ch,166499535.894
2009-03-09,out,ch,177970843.096
2009-03-09,out_incl_losses,ch,194106550.054
2009-03-10,in,ch,168476370.907
2009-03-10,out,ch,183393234.031
2009-03-10,out_incl_losses,ch,198196190.1325
2009-03-11,in,ch,160332486.078
2009-03-11,out,ch,179836511.257
2009-03-11,out_incl_losses,ch,196428885.86325
2009-03-12,in,ch,163735071.268
2009-03-12,out,ch,180735493.228
2009-03-12,out_incl_losses,ch,196530473.30125
2009-03-13,in,ch,149414598.653
2009-03-13,out,ch,171928568.782
2009-03-13,out_incl_losses,ch,190250645.0485
2009-03-14,in,ch,139831102.348
2009-03-14,out,ch,148864130.429
2009-03-14,out_incl_losses,ch,166355258.69225
2009-03-15,in,ch,131480253.605
2009-03-15,out,ch,136713838.493
2009-03-15,out_incl_losses,ch,158263352.617
2009-03-16,in,ch,165218227.937
2009-03-16,out,ch,167460165.471
2009-03-16,out_incl_losses,ch,183956992.76625
2009-03-17,in,ch,157159538.287
2009-03-17,out,ch,170686641.583
2009-03-17,out_incl_losses,ch,187485390.66675
2009-03-18,in,ch,164884722.059
2009-03-18,out,ch,169872126.191
2009-03-18,out_incl_losses,ch,185795375.53875
2009-03-19,in,ch,172709919.178
2009-03-19,out,ch,167515626.085
2009-03-19,out_incl_losses,ch,183700706.56975
2009-03-20,in,ch,160258738.315
2009-03-20,out,ch,171769240.918
2009-03-20,out_incl_losses,ch,186336032.5055
2009-03-21,in,ch,149552218.101
2009-03-21,out,ch,153702232.746
2009-03-21,out_incl_losses,ch,167261572.95125
2009-03-22,in,ch,136915071.771
2009-03-22,out,ch,140060993.266
2009-03-22,out_incl_losses,ch,158328822.72225
2009-03-23,in,ch,168325312.419
2009-03-23,out,ch,168695974.605
2009-03-23,out_incl_losses,ch,182470168.40475
2009-03-24,in,ch,172848678.978
2009-03-24,out,ch,175505897.275
2009-03-24,out_incl_losses,ch,191190436.82025
2009-03-25,in,ch,177483381.931
2009-03-25,out,ch,179893114.616
2009-03-25,out_incl_losses,ch,194460992.422
2009-03-26,in,ch,175584786.776
2009-03-26,out,ch,176452470.257
2009-03-26,out_incl_losses,ch,191299389.89575
2009-03-27,in,ch,158224416.629
2009-03-27,out,ch,168696233.233
2009-03-27,out_incl_losses,ch,184422756.66175
2009-03-28,in,ch,140087908.129
2009-03-28,out,ch,149202604.139
2009-03-28,out_incl_losses,ch,166051642.417
2009-03-29,in,ch,138327001.671
2009-03-29,out,ch,139625609.797
2009-03-29,out_incl_losses,ch,156901716.9285
2009-03-30,in,ch,150716303.711
2009-03-30,out,ch,171906401.053
2009-03-30,out_incl_losses,ch,186084900.89425
2009-03-31,in,ch,163967595.765
2009-03-31,out,ch,173274779.808
2009-03-31,out_incl_losses,ch,188134638.83725
2009-04-01,in,ch,159666899.261
2009-04-01,out,ch,170069204.153
2009-04-01,out_incl_losses,ch,184491832.18375
2009-04-02,in,ch,154034227.794
2009-04-02,out,ch,167127042.634
2009-04-02,out_incl_losses,ch,184195474.34175
2009-04-03,in,ch,158308449.679
2009-04-03,out,ch,159976900.722
2009-04-03,out_incl_losses,ch,178352184.69425
2009-04-04,in,ch,150819311.275
2009-04-04,out,ch,135430538.635
2009-04-04,out_incl_losses,ch,152491840.7455
2009-04-05,in,ch,147449541.13
2009-04-05,out,ch,121729128.603
2009-04-05,out_incl_losses,ch,138512020.0325
2009-04-06,in,ch,161119060.19
2009-04-06,out,ch,153108088.002
2009-04-06,out_incl_losses,ch,167196890.708
2009-04-07,in,ch,174322283.146
2009-04-07,out,ch,154192354.34
2009-04-07,out_incl_losses,ch,168246056.6235
2009-04-08,in,ch,178243521.421
2009-04-08,out,ch,153879001.125
2009-04-08,out_incl_losses,ch,166834880.784
2009-04-09,in,ch,176065364.749
2009-04-09,out,ch,144597639.513
2009-04-09,out_incl_losses,ch,157460898.64425
2009-04-10,in,ch,166070144.742
2009-04-10,out,ch,115562166.606
2009-04-10,out_incl_losses,ch,132022432.2975
2009-04-11,in,ch,159668268.194
2009-04-11,out,ch,118852943.349
2009-04-11,out_incl_losses,ch,139699493.9425
2009-04-12,in,ch,159641179.89
2009-04-12,out,ch,107632086.882
2009-04-12,out_incl_losses,ch,126524545.28575
2009-04-13,in,ch,160223978.43575
2009-04-13,out,ch,110858647.034
2009-04-13,out_incl_losses,ch,127734898.72775
2009-04-14,in,ch,181101758.128
2009-04-14,out,ch,142085094.928
2009-04-14,out_incl_losses,ch,158373247.18925
2009-04-15,in,ch,180547486.011
2009-04-15,out,ch,145008785.698
2009-04-15,out_incl_losses,ch,160682265.583
2009-04-16,in,ch,194862705.161
2009-04-16,out,ch,150371806.078
2009-04-16,out_incl_losses,ch,164511695.254
2009-04-17,in,ch,191865428.891
2009-04-17,out,ch,149148346.629
2009-04-17,out_incl_losses,ch,161928698.22525
2009-04-18,in,ch,163256155.375
2009-04-18,out,ch,127140191.337
2009-04-18,out_incl_losses,ch,139684859.7685
2009-04-19,in,ch,156429861.364
2009-04-19,out,ch,117133260.327
2009-04-19,out_incl_losses,ch,130576880.7595
2009-04-20,in,ch,181057845.886
2009-04-20,out,ch,147463539.791
2009-04-20,out_incl_losses,ch,159948638.74
2009-04-21,in,ch,179328747.256
2009-04-21,out,ch,151163521.964
2009-04-21,out_incl_losses,ch,162593982.04
2009-04-22,in,ch,176979753.784
2009-04-22,out,ch,149793690.427
2009-04-22,out_incl_losses,ch,161597401.6795
2009-04-23,in,ch,182973774.655
2009-04-23,out,ch,150170997.079
2009-04-23,out_incl_losses,ch,162843195.67975
2009-04-24,in,ch,188231482.288
2009-04-24,out,ch,150073898.435
2009-04-24,out_incl_losses,ch,161539825.77275
2009-04-25,in,ch,165908727.154
2009-04-25,out,ch,124836949.009
2009-04-25,out_incl_losses,ch,137272472.24
2009-04-26,in,ch,161746731.949
2009-04-26,out,ch,114465998.407
